gua_xu,file,full_name,short_name,upper,lower
1,gua/01.png,乾為天,乾,☰,☰
2,gua/02.png,坤為地,坤,☷,☷
3,gua/03.png,水雷屯,屯,☵,☳
4,gua/04.png,山水蒙,蒙,☶,☵
5,gua/05.png,水天需,需,☵,☰
6,gua/06.png,天水訟,訟,☰,☵
7,gua/07.png,地水師,師,☷,☵
8,gua/08.png,水地比,比,☵,☷
9,gua/09.png,風天小畜,小畜,☴,☰
10,gua/10.png,天澤履,履,☰,☱
11,gua/11.png,地天泰,泰,☷,☰
12,gua/12.png,天地否,否,☰,☷
13,gua/13.png,天火同人,同人,☰,☲
14,gua/14.png,火天大有,大有,☲,☰
15,gua/15.png,地山謙,謙,☷,☶
16,gua/16.png,雷地豫,豫,☳,☷
17,gua/17.png,澤雷隨,隨,☱,☳
18,gua/18.png,山風蠱,蠱,☶,☴
19,gua/19.png,地澤臨,臨,☷,☱
20,gua/20.png,風地觀,觀,☴,☷
21,gua/21.png,火雷噬嗑,噬嗑,☲,☳
22,gua/22.png,山火賁,賁,☶,☲
23,gua/23.png,山地剝,剝,☶,☷
24,gua/24.png,地雷復,復,☷,☳
25,gua/25.png,天雷無妄,無妄,☰,☳
26,gua/26.png,山天大畜,大畜,☶,☰
27,gua/27.png,山雷頤,頤,☶,☳
28,gua/28.png,澤風大過,大過,☱,☴
29,gua/29.png,坎為水,坎,☵,☵
30,gua/30.png,離為火,離,☲,☲
31,gua/31.png,澤山咸,咸,☱,☶
32,gua/32.png,雷風恆,恆,☳,☴
33,gua/33.png,天山遯,遯,☰,☶
34,gua/34.png,雷天大壯,大壯,☳,☰
35,gua/35.png,火地晉,晉,☲,☷
36,gua/36.png,地火明夷,明夷,☷,☲
37,gua/37.png,風火家人,家人,☴,☲
38,gua/38.png,火澤睽,睽,☲,☱
39,gua/39.png,水山蹇,蹇,☵,☶
40,gua/40.png,雷水解,解,☳,☵
41,gua/41.png,山澤損,損,☶,☱
42,gua/42.png,風雷益,益,☴,☳
43,gua/43.png,澤天夬,夬,☱,☰
44,gua/44.png,天風姤,姤,☰,☴
45,gua/45.png,澤地萃,萃,☱,☷
46,gua/46.png,地風升,升,☷,☴
47,gua/47.png,澤水困,困,☱,☵
48,gua/48.png,水風井,井,☵,☴
49,gua/49.png,澤火革,革,☱,☲
50,gua/50.png,火風鼎,鼎,☲,☴
51,gua/51.png,震為雷,震,☳,☳
52,gua/52.png,艮為山,艮,☶,☶
53,gua/53.png,風山漸,漸,☴,☶
54,gua/54.png,雷澤歸妹,歸妹,☳,☱
55,gua/55.png,雷火豐,豐,☳,☲
56,gua/56.png,火山旅,旅,☲,☶
57,gua/57.png,巽為風,巽,☴,☴
58,gua/58.png,兌為澤,兌,☱,☱
59,gua/59.png,風水渙,渙,☴,☵
60,gua/60.png,水澤節,節,☵,☱
61,gua/61.png,風澤中孚,中孚,☴,☱
62,gua/62.png,雷山小過,小過,☳,☶
63,gua/63.png,水火既濟,既濟,☵,☲
64,gua/64.png,火水未濟,未濟,☲,☵
